关键词,名称,sal,d,d1,d2
"python
数据库
django
flask
sql
odoo
http
五险一金
年终奖金",Python开发工程师,1-1.5万·13薪,武汉·洪山区,3-4年,本科
"python
数据库
linux
nosql
五险一金
绩效奖金
交通补贴
餐饮补贴
定期体检
包住",Python软件工程师,1.2-2万,佛山,3-4年,本科
"mysql
数据库
数据分析
linux
css
redis
js
数据建模
python
五险一金
年终奖金
股票期权",Python,1-1.7万,大连,3-4年,本科
"c++
web
数据结构
设计模式
多线程
计算机软件
vscode
项目
开发工具
人机交互
五险一金
餐饮补贴
年终奖金",Python开发工程师,7千-1.2万,中山,3-4年,本科
"mysql
oracle
http
关系型数据库
websocket
b/s架构
python开发
基金行业
桌面运维
餐饮补贴
节日福利
周末双休
地铁周边
五险一金
员工旅游
绩效奖金
年终奖金
定期体检",Python开发工程师,2.5-3.5万,北京,3-4年,本科
,Python全栈工程师,1-1.5万,广东省,3-4年,大专
"通讯补贴
餐饮补贴
交通补贴",Python开发工程师,1.5-2.5万,深圳·龙岗区,10年以上,本科
"c++
web
数据结构
设计模式
多线程
计算机软件
vscode
项目
开发工具
人机交互
五险一金
餐饮补贴
年终奖金",Python开发工程师,7千-1.2万,中山,3-4年,本科
"java
数据库
linux
c++
mysql数据库
shell
数学
多线程
编程语言
机器学习
周末双休
专业培训
五险一金
员工旅游
年终奖金",Python软件开发工程师,1-1.5万,广州·南沙区,2年,本科
"深度学习
python
机器学习算法
五险一金
节假福利
双休",Python（机器学习）,1.5-2万,上海·浦东新区,5-7年,大专
"python
五险一金
绩效奖金
年终奖金
带薪年假
全勤奖
节日福利
餐饮补贴
股票期权
领导很好
经常团建",Python开发工程师,2-4万,上海·浦东新区,5-7年,本科
"python
编码规范
数据整理
数据结构
性能调优
算法设计
模型集成
五险一金
补充医疗保险
年终奖金
定期体检
出国机会
员工旅游
专业培训
通讯补贴
餐饮补贴
交通补贴",Python开发工程师（中级/高级）,1.3-2.5万·15薪,西安,2年,本科
"python开发
django
mysql
五险一金
周末双休
交通补贴
餐饮补贴",Python工程师,1.5-2万,深圳·南山区,3-4年,本科
"计算机
linux
c++
数据结构
设计模式
docker
多线程
技术交流
性能调优
算法
五险一金
员工旅游
定期体检
大牛带队
节日礼物
休闲零时
气氛好
领导好
发展空间大",Python开发工程师,1.5-2.5万,西安·雁塔区,3-4年,本科
"python
软件开发
软件工程师
五险一金
员工旅游
餐饮补贴
年终奖金
定期体检",Python开发工程师,1-2万·15薪,上海,2年,本科
,Python开发工程师,1-2万,上海·浦东新区,2年,本科
"五险一金
员工旅游
餐饮补贴
年终奖金
定期体检",中级Python工程师,1-1.2万,北京·朝阳区,3-4年,本科
"计算机
mysql
测试
redis
开发
c++
设计模式
数学
postgresql
django
五险一金
餐饮补贴
定期体检
专业培训
绩效奖金",Python,1.2-1.8万,南京,3-4年,大专
"mysql
数据库
需求分析
redis
sql
数据结构
关系型数据库
编程语言
建模
算法
五险一金
员工旅游
专业培训
绩效奖金
年终奖金
定期体检
餐饮补贴",Python开发资深工程师,2-3万·13薪,深圳·宝安区,3-4年,硕士
"计算机
mysql
oracle
linux
redis
编程
shell
关系型数据库
web前端开发
postgresql
五险一金
年终奖金
绩效奖金
周末双休
带薪年假
定期体检
交通补贴",Python开发工程师,1-1.5万,珠海·珠海高新区,3-4年,本科
"员工旅游
餐饮补贴
专业培训
出国机会
绩效奖金
年终奖金
股票期权
全勤奖
五险一金",Python 软件工程师,2-3.5万,深圳·南山区,3-4年,本科
"python
编码规范
数据整理
数据结构
性能调优
算法设计
模型集成
五险一金
补充医疗保险
年终奖金
定期体检
出国机会
员工旅游
专业培训
通讯补贴
餐饮补贴
交通补贴",Python开发工程师（中级/高级）,1.3-2.5万·15薪,深圳·龙岗区,2年,本科
"python
爬虫
软件开发
大数据
Mysql
redis
nosql
免费班车
员工旅游
年终奖金
定期体检
周末双休
带薪年假
五险一金",Python开发工程师,8千-1.3万,珠海,3-4年,本科
"计算机
mysql
oracle
linux
redis
编程
shell
关系型数据库
web前端开发
postgresql
五险一金
年终奖金
绩效奖金
周末双休
带薪年假
定期体检
交通补贴",Python开发工程师,1-1.5万,珠海·珠海高新区,3-4年,本科
"数据分析
python
系统架构
模块
产品模块设计
软件开发
函数
五险一金
绩效奖金
通讯补贴
五险一金足额
高固薪保障
月初发薪
周末双休
节假日休息",Python软件工程师,1.1-2万·14薪,上海·浦东新区,3-4年,本科
"mysql
数据库
需求分析
redis
sql
数据结构
关系型数据库
编程语言
建模
算法
五险一金
员工旅游
专业培训
绩效奖金
年终奖金
定期体检
餐饮补贴",Python开发资深工程师,2-3万·13薪,深圳·宝安区,3-4年,硕士
"mysql
数据库
产品开发
redis
linux
http
系统开发
网络安全
django
ip协议
五险一金
交通补贴
餐饮补贴
通讯补贴
绩效奖金
股票期权
弹性工作
免费班车",Python开发工程师,1.1-1.8万,上海·静安区,2年,本科
"python
算法
精准营销
数据敏感
人工智能算法
五险一金
绩效奖金
餐饮补贴
高温补贴
节日福利
专业培训
员工旅游
定期体检",Python算法工程师(J10200),20-30万/年,宁波·镇海区,3-4年,本科
"python
软件开发
软件工程师
开发工程师
django
mySQL
pandas
numpy
五险一金
年终奖金
绩效奖金
周末双休
带薪年假
定期体检
交通补贴",Python开发工程师,1-1.5万,珠海·珠海高新区,3-4年,本科
"人工智能
机器人
django
python编程
研发
发展前景
领导很nice
五险一金
绩效奖金",Python开发工程师,5-6千·13薪,广州·番禺区,2年,大专
"五险一金
餐饮补贴
绩效奖金
年终奖金
弹性工作
定期体检
通讯补贴",python爬虫工程师,1.5-2.5万,上海·徐汇区,5-7年,本科
"python
rpa
自动化测试
robot
五险一金
专业培训
年终奖金",Python工程师,1-1.8万,广州,3-4年,本科
"英语
软件
matlab
可靠性测试
硬件
定期体检
员工旅游
专业培训
年终奖金
弹性工作
六险一金
绩效奖金",高级Python工程师,2.5-3.2万·14薪,上海·浦东新区,8-9年,大专
"计算机
电子
linux
开发
编程
嵌入式
功能维护
3d打印行业
软件调测
python多线程
员工旅游
专业培训
绩效奖金
年终奖金
股票期权
五险
五险一金",Python工程师,1.5-2万,苏州·苏州工业园区,3-4年,本科
"计算机
mysql
oracle
linux
redis
编程
shell
关系型数据库
web前端开发
postgresql
五险一金
年终奖金
绩效奖金
周末双休
带薪年假
定期体检
交通补贴",Python开发工程师,1-1.5万,珠海·珠海高新区,3-4年,本科
"五险一金
免费班车
年终奖金
定期体检",Python后台开发工程师,1.5-2.3万,深圳,3-4年,本科
"python
五险一金
定期体检
年终奖金
免费班车
员工旅游",Python软件开发工程师,1.5-3万·13薪,上海·闵行区,5-7年,本科
"mysql
测试
编程
人工智能
python自动化
数据库管理
绩效奖金
年终奖金
员工旅游
定期体检",Python开发(J11013),1-1.5万·13薪,上海,3-4年,本科
"计算机
mysql
oracle
linux
redis
编程
shell
关系型数据库
web前端开发
postgresql
五险一金
年终奖金
绩效奖金
周末双休
带薪年假
定期体检
交通补贴",Python开发工程师,1-1.5万,珠海·珠海高新区,3-4年,本科
"软件
matlab
可靠性测试
英语口语
定期体检
员工旅游
专业培训
年终奖金
弹性工作
六险一金
绩效奖金",Python工程师,2-3万·14薪,深圳·南山区,3-4年,大专
Python,Technology-Python开发工程师,1-1.8万·13薪,广州·天河区,3-4年,本科
