关键词,名称,sal,d,d1,d2
"自动化测试
selenium
银行项目
python
robotFramew
五险一金
绩效奖金
节日福利
做五休二
员工旅游
定期体检",Python自动化测试（银行）,1.2-1.5万,深圳·福田区,5-7年,本科
"mysql
数据库
linux
测试
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检",Python测试工程师（2024届）,6千-1万,北京·东城区,无需经验,本科
"mysql
数据分析
计算机
Elasticsearc
年终奖金
五险一金",Python,1-1.5万,北京·西城区,3-4年,本科
"python
五险一金
扁平管理
团队气氛佳
福利待遇好
年终奖金",Python开发工程师,1.2-2万,深圳·南山区,3-4年,大专
"oracle
db2
hadoop
银行
计算机
数据库
sqoop
sql数据查询
金融
Python
五险一金
带薪年假
加班补贴
节日礼品",Python工程师,7千-1.4万,大连·沙河口区,2年,本科
"python
开发工程师
自动化
软件开发
django
软件工程师
工程师
五险一金
员工旅游
绩效奖金
年终奖金
股票期权
弹性工作",Python软件工程师,1-2万·13薪,杭州·钱塘区,2年,本科
"python
数据采集
计算机
代码质量
web开发
mysql
编程
文档编写
debug
数据库建模
五险一金
员工旅游
交通补贴
餐饮补贴
专业培训
年终奖金
做五休二",Python工程师,1-2万,武汉·东湖新技术产业开发区,2年,本科
,Python,1-1.4万,西安·雁塔区,3-4年,本科
"五险一金
员工旅游
餐饮补贴
年终奖金
定期体检",高级python工程师,1.5-2万,北京·朝阳区,5-7年,本科
五险一金,IT数字化项目管理(精通Python)-流程改善,1-1.4万,苏州,无需经验,本科
"python
django
日语
五险一金
出国机会",对日python开发,1-2万,上海·杨浦区,无需经验,
"数据抓取
数据爬虫
mysql
redis
django
flask
mongo
性能优化
tornado
绩效奖金
包住宿
节日福利
五险",Python工程师（爬虫方向）,6千-1万,深圳·福田区,1年,大专
"mysql
jquery
linux
redis
vue
数据结构
性能测试
react
设计模式
rabbitmq
五险一金
年终奖金
员工旅游
定期体检",Python高级开发工程师,1.5-2万,成都·成华区,3-4年,本科
"机器学习
django
flask
fastapi
自然语言处理
ai算法
python
算法
深度学习
nlp
五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",Python开发工程师,1-2万,武汉·东湖新技术产业开发区,3-4年,硕士
"python
软件开发
网络安全
双休
五险一金
绩效激励
年终奖金
餐饮补贴
月绩效奖金",Python开发工程师,9千-1.5万·13薪,长沙·岳麓区,2年,本科
"python
工具链
pyqt5
上位机
can
上位机开发
socket
xml
第三方库
os
五险一金
员工旅游
周末双休
交通补贴
餐饮补贴
通讯补贴
专业培训",Python研发工程师,1-1.5万,广州·天河区,5-7年,大专
"web
python
vue
angular
react
全栈
五险一金
补充医疗保险
年终奖金
定期体检
出国机会
员工旅游
专业培训
通讯补贴
餐饮补贴
交通补贴",全栈开发工程师（python+前端）,1.5-2.5万·14薪,上海·静安区,2年,大专
"python
c#
java
前端开发
编程语言
vue
react
代码开发
产品落地
五险一金
补充医疗保险
员工旅游
交通补贴
专业培训
定期体检
弹性工作
绩效奖金
餐饮补贴
周末双休",全栈工程师/Python全栈工程师,1.5-2.5万,深圳·南山区,无需经验,大专
"多线程
socket
django
python
五险一金
出国机会",对日python中级工程师,1-1.8万,深圳·南山区,无需经验,
"计算机
mysql
测试
css
html
javascript
开发
前端
git
单元测试
五险一金",Python工程师,1.8-2.5万,广州·番禺区,5-7年,本科
"数据分析
python
电商平台销售
sql
五险一金
补充公积金
员工旅游
绩效奖金
年终奖金
弹性工作
定期体检
专业培训
餐饮补贴
通讯补贴",Python数据分析师,1-2万,深圳·龙岗区,无需经验,本科
"强化学习算法
五险一金
补充医疗保险
补充公积金
年终奖金
餐饮补贴
专业培训
绩效奖金
定期体检",Python工程师,1.2-2.4万,北京,3-4年,本科
"python
五险一金
定期体检
弹性工作",Python开发工程师,1.1-1.8万,武汉,3-4年,本科
"计算机
it行业
五险一金
定期体检
餐饮补贴
专业培训",Python开发工程师（可实习）,4-8千,大连·高新园区,无需经验,大专
"python
数据库
带薪年假
五险一金
餐饮补贴
年终奖金",Python后端开发工程师,1.2-1.5万·18薪,苏州,3-4年,硕士
"python
flask
金融科技
软件开发
金融工程
五险一金
14薪
绩效奖金
专业培训
发展空间广阔",Python开发工程师,1-1.5万,上海·浦东新区,3-4年,本科
"ci/cd
运维开发
saltstack
游戏行业
Ansible
五险一金
补充公积金
交通补贴
员工旅游
年终奖金",运维开发工程师(Python),1.5-2万,广州·天河区,3-4年,本科
"计算机
五险一金
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金",Python自动化测试工程师,6千-1.2万·13薪,青岛·市南区,无需经验,本科
"python
金融行业开发
数据报表
五险一金
节假福利
双休",Python开发工程师,1-1.8万,上海·浦东新区,3-4年,本科
"带薪年假
五险一金
包住宿
年终双薪
公司分红
加班补贴
餐饮补贴",Python后端开发工程师,1-1.2万·18薪,苏州,2年,硕士
"补充医疗保险
绩效奖金
定期体检
专业培训
餐饮补贴",Python后端开发工程师,12-15万/年,武汉·洪山区,2年,本科
"python
fastapi
django
redis
docker
web
restful
后端开发
网络安全
flask
五险一金
年终奖金
弹性工作
定期体检
交通补贴
餐饮补贴",Python开发工程师,1.2-2万·13薪,上海·徐汇区,2年,本科
"python工程师
matlab工程师
做五休二
弹性工作
带薪年假
加班补贴
餐饮补贴
全勤奖
绩效奖金
网络居家办公",诚聘matlab和python技术工程师,1.5千/天,北京,2年,本科
"python
制造业
五险一金
餐饮补贴
专业培训
绩效奖金",Python工程师,1.8-2.8万,广州,5-7年,本科
"mysql
数据库
数据分析
linux
redis
shell
docker
jenkins
中间件
微服务
五险一金
免费班车
餐饮补贴",Python开发工程师m,1.8-2.1万,北京·朝阳区,5-7年,本科
"mysql
数据库
数据分析
excel
sql
word
sqlserver
自动化
office
软件开发
周末双休
专业培训
加班补贴
六险一金
年底双薪
四大
五百强外企",Python自动化开发工程师,7千-1.3万·13薪,成都·武侯区,1年,本科
"java
大数据平台
数据存储
计算分析
scale
python",Python数据开发工程师,1.5-1.9万,北京·西城区,3-4年,本科
"交通补贴
餐饮补贴
通讯补贴",高级开发工程师（Python后端）,1.5-2.5万,重庆·渝北区,3-4年,本科
"五险一金
专业培训
餐饮补贴
绩效奖金
年终奖金",python后端开发工程师,7千-1.4万,成都·武侯区,1年,本科
"绩效奖金
员工旅游
五险
餐饮补贴
年终奖金
股权奖金
每年加薪
软件开发奖金","C#,Python,JAVA开发软件工程师",7千-1.4万·13薪,温州,1年,本科
"python
软件开发
django
员工旅游
专业培训
年终奖金
股票期权
弹性工作
定期体检
五险
拓展培训
绩效奖金",Python开发工程师,1-2万,南京,3-4年,本科
"SAS
R
Python
SQL
五险一金
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
股票期权
员工旅游
定期体检",数据分析师（SAS/R/Python）,1-2万·13薪,北京·朝阳区,1年,本科
"测试程序
程序开发
通讯
python
电子产品测试
测试设备维护
自动化
五险一金
带薪年假
节日福利
绩效奖金
年终奖金",Python自动化测试工程师,7千-1.2万,深圳·龙华区,2年,本科
"mysql
数据库
机器学习
人工智能
五险一金
年终奖金
周末双休
绩效奖金
全勤奖
节日福利",Python开发工程师,1-1.5万,北京·丰台区,3-4年,本科
"mysql
数据库
redis
sql
自动化
git
软件工程
代码编写
计算机网络
统计
专业培训
年终奖金
股票期权
定期体检
拓展培训
绩效奖金
五险一金",Python工程师,1.5-2.5万,南京·建邺区,3-4年,本科
"学习计划
编程
学情跟踪
python
学习建议
五险一金
补充医疗保险
餐饮补贴
交通补贴
员工旅游
专业培训
弹性工作
定期体检",python少儿编程辅导老师双休包餐,7千-1.2万,郑州,无需经验,本科
"计算机
git
matlab
技术沟通
开源项目
图形界面开发
python
补充医疗保险
免费班车
专业培训
绩效奖金
年终奖金
弹性工作
定期体检
节日福利
六险一金",Python开发工程师,1-1.8万·13薪,苏州,2年,本科
"计算机
mysql
oracle
五险一金
年终奖金
专业培训
定期体检
员工旅游
餐饮补贴
员工宿舍
企业年金",Python研发工程师,9.9-17万/年,常州·钟楼区,无需经验,本科
"五险一金
绩效奖金
年终奖金
专业培训
周末双休
新兴科技
节日福利
生日福利",python后端开发工程师,1.5-2万·13薪,成都,3-4年,本科
"计算机
linux
sql
编程
报表
spark
爬虫
数据抓取
抽数
员工旅游
补充医疗保险
周末双休
弹性工作
节日福利",Python开发工程师,1-1.5万·13薪,广州·黄埔区,2年,大专
"计算机软件
机器学习
算法
数据库
多线程
go
云服务
Python
React
五险一金
定期体检
年终奖金
周末双休
餐饮补贴",Python工程师,1.2-1.5万·15薪,宁波·鄞州区,1年,本科
"五险一金
专业培训
弹性工作
年终奖金
绩效奖金
定期体检
餐饮补贴
节日礼物
员工旅游
发展空间大",软件开发工程师（上位机，QT，C++/Python）,1.5-3万·13薪,上海·浦东新区,3-4年,本科
"计算机
数据分析
数学
tensorflow
算法模型
特征工程
sklearn
分析挖掘
算法设计优化
统计学
五险一金
专业培训
绩效奖金",Python算法工程师,1-1.5万,哈尔滨·香坊区,3-4年,本科
"计算机
sql
建模
编码习惯
数据模型
用户分层
数据算法
数据模型开发
性能问题
python
五险一金
定期体检
团建活动
通讯补贴
餐饮补贴",Python开发工程师,9千-1.4万,南京·鼓楼区,2年,本科
"周末双休
带薪年假
五险一金",Python开发,1.5-2万,成都,3-4年,本科
"弹性工作
五险一金",初级Python脚本开发,4-6千,西安·雁塔区,无需经验,大专
"五险一金
弹性工作
绩效奖金
定期体检",Python开发工程师,1.2-2万,苏州,2年,本科
"计算机
数据分析
linux
数据结构
项目开发
web开发
vscode
英语阅读
项目
pandas
五险一金
绩效奖金",Python,1.4-1.8万,北京·朝阳区,5-7年,本科
"java
数据库
c++
编程
网络
shell
数学
统计
编程语言
建模
员工旅游
年终奖金
节日福利
带薪培训",Python开发工程师,1.5-2.5万·15薪,北京,无需经验,本科
"培训
计算机
mysql
数据库
redis
项目开发
网络设备
perl
开发语言
设计文档
五险一金
补充医疗保险
餐饮补贴
通讯补贴
定期体检
绩效奖金
生日福利
节日福利",zy3109-Go/Python开发工程师,1-2万,南京·建邺区,2年,本科
"信网
python爬虫
函数
python
五险一金
员工旅游
专业培训
年终奖金",初中级python,1-1.5万,南京·雨花台区,2年,本科
,Python Developer,1.2-1.9万,北京,1年,本科
"五险一金
补充公积金
员工旅游
通讯补贴
专业培训
出国机会
绩效奖金
弹性工作",python开发工程师,1-2万·14薪,深圳,1年,本科
"python
爬虫
软件开发
五险一金
补充医疗保险
员工旅游
交通补贴
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检
员工体检",Python开发工程师,1.2-1.8万,广州·海珠区,3-4年,本科
"linux
c++
编程语言
系统架构
深度学习
gcc
算法开发
系统稳定性
五险一金
定期体检
交通补贴
员工宿舍",高级系统工程师（C++、python混合架构）,3-5万,深圳·坪山区,5-7年,本科
"java
编程
shell
后端开发
绘图
技术文档
django
pandas
flask
numpy",python开发工程师,1.3-1.5万,北京·海淀区,3-4年,本科
"计算机
linux
c++
功能测试
bug
shell
二次开发
项目规划
设计文档
接口文档
五险一金
员工旅游
专业培训
绩效奖金
定期体检
免费班车",Python开发工程师,1.5-2.5万,深圳·南山区,3-4年,本科
"教学
计算机
数据分析
excel
授课
教学方法
数学
软件
课程辅导
数据挖掘
五险一金
年终奖金
16天带薪年假
专业培训
定期体检
节日福利",python高级讲师,1.2-2万,广州·白云区,3-4年,大专
"python
五险一金
定期体检
员工旅游
专业培训
补充医疗保险",Python开发工程师,1.2-2万,合肥·高新区,无需经验,本科
"培训
java
linux
javascript
英语
c++
云计算
计算机科学
sql数据库
pandas
五险一金
周末双休
通讯补贴
专业培训
年终奖金
员工活动",Python开发工程师,8千-1.5万,南京·鼓楼区,3-4年,本科
"Appium
自动化测试
python
selenuim
五险一金
补充医疗保险
定期体检
做五休二
周末双休
带薪年假
节日福利
免费班车",自动化测试工程师（Python）,1-1.8万·13薪,上海,5-7年,本科
"python
教学
讲师
授课
五险一金
年终奖金
16天带薪年假
专业培训
定期体检
节日福利",Python培训讲师,8千-1.5万,广州·白云区,3-4年,大专
"redis
开发
react
docker
ai
人工智能
django
demo
前端界面
编码风格
五险一金
员工旅游
交通补贴
通讯补贴
年终奖金
专业培训",Python开发工程师,1.5-2万·13薪,北京·海淀区,3-4年,本科
"计算机
管理
数据库
数据分析
sql数据库
可视化
数据提取
数据查询
逻辑设计
处理数据
五险一金
员工旅游
通讯补贴
年终奖金
定期体检
弹性工作
专业培训",Python工程师,1-1.5万,江苏省,2年,大专
"python
算法
机器学习
爬虫
后端开发
tornado
flask
fastapi",Python开发工程师,1.6-3.2万,西安,3-4年,本科
"教学
计算机
数据分析
excel
授课
教学方法
数学
软件
课程辅导
数据挖掘
五险一金
年终奖金
16天带薪年假
专业培训
定期体检
节日福利",python高级讲师,1.2-2万,广州·白云区,3-4年,大专
"五险一金
免费班车
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金",Python高级开发工程师,1.8-3万,深圳·光明区,5-7年,本科
"Python
flask
SQLite
SQLServer
数据库
亚马逊
英语
五险一金
专业培训
工作稳定
带薪年假",Python全栈工程师,2.3-2.8万,深圳,3-4年,大专
"python
算法
机器学习
爬虫
后端开发
tornado
flask
fastapi",Python开发工程师,1.6-3.2万,武汉,3-4年,本科
"教学
计算机
数据分析
excel
授课
教学方法
数学
软件
课程辅导
数据挖掘
五险一金
年终奖金
16天带薪年假
专业培训
定期体检
节日福利",python高级讲师,1.2-2万,广州·白云区,3-4年,大专
"数据库
需求分析
自动化测试
docker
技术文档
系统架构
Nginx
Python开发
员工旅游
五险一金
绩效奖金
年终奖金",Python开发工程师,1.2-2万·13薪,广州,2年,本科
"代码
信号源
开发
python
通信
射频
五险一金
定期体检
弹性工作",Python开发,1-1.9万,东莞,2年,本科
"计算机
linux
sql
编程
报表
spark
爬虫
数据抓取
抽数
员工旅游
补充医疗保险
周末双休
弹性工作
节日福利",Python开发工程师,1.1-1.8万·13薪,广州·黄埔区,2年,大专
"网分
射频产品
生产测试
python
五险一金
员工旅游
定期体检
年终奖金",NPI软件测试工程师Python(J10008),1.5-2.5万,深圳·宝安区,3-4年,本科
"数据分析
sql
ai
hive
机器学习
pandas
数据清洗
数据挖掘
五险一金
年终奖金
做五休二
免费班车
定期体检
员工旅游",Python开发工程师（AI，数据处理）,2-2.2万·13薪,上海·浦东新区,5-7年,本科
"python
终端测试
网络协议
ip协议
tcp
五险一金
员工旅游
绩效奖金
年终奖金
弹性工作
定期体检",python测试/python开发,1-1.5万,武汉·江夏区,2年,本科
"通讯补贴
餐饮补贴
双休
外宿补贴",python开发工程师,1.5-3万·14薪,上海,3-4年,本科
"界面设计
测试工具
Python开发
五险一金
定期体检
专业培训
员工旅游
年终奖金",测试软件开发工程师 Python,1-1.5万,深圳·光明区,1年,本科
"linux
django
计算机科学
信息技术
flask
aws
python编程
azure
服务器监控
管理服务器
五险一金
员工旅游
专业培训
补充医疗保险
补充公积金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检",python初级开发,1.2-1.6万·13薪,成都·高新区,3-4年,本科
五险一金,高级Python开发工程师,1.8-2万·13薪,北京,5-7年,本科
"python
vue
五险一金
补充医疗保险
员工旅游
交通补贴
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检
员工体检",Python开发工程师,1.3-1.7万,深圳·福田区,3-4年,本科
"量化研究员
量化投资
量化程序员",Python策略开发工程师,1.5-3万,上海·浦东新区,2年,本科
"五险一金
补充医疗保险
定期体检
专业培训
绩效奖金
年终奖金",Python研发工程师,18-30万/年,苏州·苏州工业园区,2年,本科
"mysql
数据库
数据分析
linux
编程
网络
运维
报表
多线程
金融机构
五险一金
年终奖金
定期体检
股票期权",Python后端开发,1.5-2.1万,上海·浦东新区,3-4年,本科
"python
爬虫
数据采集
数据
VUE
redis
员工旅游
下午茶
五险
餐饮补贴",python爬虫工程师,1-1.5万,广州·越秀区,2年,大专
五险一金,IT数字化项目管理(精通Python)-供应链方向,1.2-1.3万,北京,1年,本科
"shell
linux
编程
开发
python
django
celery
git
数据结构
五险一金
定期体检
员工旅游
节假日福利",高级Python开发工程师,1.8-2万,北京·海淀区,3-4年,本科
"计算机
mysql
oracle
数据库
数据分析
电子
sql
编程
软件工程
数学
五险一金
专业培训
年终奖金
免费班车
员工旅游
交通补贴
餐饮补贴
通讯补贴
定期体检",Python,1-1.8万,上海·浦东新区,5-7年,本科
"软件开发
linux
自动化
年终奖金
餐饮补贴
通讯补贴
五险一金
周末双休
股票期权
员工旅游
专业培训",Python开发工程师,1.2-2万·14薪,上海·闵行区,3-4年,本科
"计算机
mysql
redis
开发
电子信息
mongodb
解决方案
数据整理
五险一金
餐饮补贴
年终奖金
出国机会",Python工程师,1.1-1.9万,东莞,5-7年,大专
"Python开发
数学
ai
深度学习
年终奖金
定期体检
老板NICE
前景好福利佳
六险一金
带薪年假
带薪温馨假
年度旅游
五天七小时制",python初级开发工程师,1-1.2万,深圳·罗湖区,1年,本科
"五险一金
员工旅游
年终奖金
弹性工作
定期体检",Python后台开发工程师,1-1.3万,武汉·洪山区,1年,硕士
"python
gis开发
django
flask
postgis
周末双休
五险
项目提成",Python开发工程师,8千-1.2万,昆明·盘龙区,1年,大专
"日本留学
java
python
培训
日语
java讲师
C语言
C++
软件开发
培训讲师
弹性工作",C++语言python java编程培训老师教师,500元/天,上海·长宁区,2年,大专
"python
丰富提成
五险一金
餐饮补贴
全勤奖
年终奖金
PK奖
年度调薪
专业培训",Python工程师,8千-1.3万,广州·荔湾区,1年,大专
"计算机
linux
软件开发
五险一金
通讯补贴
餐饮补贴
交通补贴
专业培训
年终奖金",Python开发工程师,8.5千-1.5万,上海·杨浦区,2年,本科
"node.js
flask
mqtt
linux
celery
NoSQL
五险一金
补充公积金",Python后端开发工程师,2.5-4万·15薪,上海,3-4年,本科
"并发
算法训练
数据处理
五险一金
专业培训
绩效奖金
股票期权
文体活动
周末双休",Python工程师,5-8千,哈尔滨·松北区,无需经验,本科
"项目开发
系统架构
nosql数据库
五险一金
年终奖金",Python开发工程师,1.4-2.8万,苏州·苏州工业园区,3-4年,本科
"周末双休
补充医疗保险
五险一金
年节福利
专业培训
定期体检
弹性工作",Python工程师,1.5-3万,深圳·光明区,3-4年,本科
免费早午餐,Python开发工程师,1.2-1.8万,珠海·香洲区,3-4年,本科
"学习计划
编程
学情跟踪
python
学习建议
五险一金
补充医疗保险
餐饮补贴
交通补贴
员工旅游
专业培训
弹性工作
定期体检",python少儿编程辅导老师/双休,7千-1.2万,西安·雁塔区,无需经验,本科
"AI
GPT
人工智能
自然语言处理
python开发
周末双休
五险一金
绩效奖金
补充公积金
弹性工作
定期体检
租房补贴",Python开发工程师（AI）,1.5-3万,上海·宝山区,5-7年,本科
"计算机
java
电子
linux
c++
通信
软件测试
shell
php
tcp
五险一金
绩效奖金
餐饮补贴
交通补贴",Python软件工程师,1.1-1.3万,深圳,2年,本科
"Selenium
Scrapy
Feapder
CSS选择器
正则表达式
xpath
做五休二
绩效奖金
节日福利
专业培训",Python爬虫工程师,1-1.5万,珠海·香洲区,3-4年,大专
"web
django
五险一金
年终奖金
弹性工作时间
带薪年假
法定假日
餐饮补贴
定期调薪
商业保险
定期体检",Python后端工程师,20-40万/年,苏州·苏州工业园区,5-7年,本科
"Python
工程师
五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
股票期权
弹性工作
定期体检",Python后端工程师,7千-1万,广州·黄埔区,2年,本科
"python
spark
英语
大数据开发
计算机",Python数据开发工程师,1.2-1.6万,广州·黄埔区,3-4年,本科
"Selenium
Scrapy
Feapder
CSS选择器
正则表达式
xpath
做五休二
绩效奖金
节日福利
专业培训",Python爬虫工程师,1-1.5万,珠海·香洲区,3-4年,大专
"Python
Flask
Architecture
Architect
MongoDB
QWAC
五险一金
出国机会
股票期权
弹性工作
补充医疗保险
员工旅游
年终奖金
定期体检",Python Architect,2-4万,成都,3-4年,本科
"补充医疗保险
定期体检
七险一金
带薪年假
带薪病假
免费健身",Middle CC CNOM Python Dev.-6888,1.3-1.8万·13薪,上海,2年,本科
"周末双休
节日福利
带薪年假
专业培训
七险两金
年终奖金
定期体检
通讯补贴
餐饮补贴
交通补贴",Python开发工程师,1-1.5万,成都·高新区,2年,本科
"Selenium
Scrapy
Feapder
CSS选择器
正则表达式
xpath
做五休二
绩效奖金
节日福利
专业培训",Python爬虫工程师,1-1.5万,珠海·香洲区,3-4年,大专
"设计
抽取数据
excel宏工具
python代码
开发
五险一金
补充医疗保险
员工旅游
交通补贴
餐饮补贴
年终奖金
定期体检",vba+python+数据库基本操作,1.5-2万,上海·徐汇区,5-7年,本科
"补充医疗保险
定期体检
七险一金
带薪年假
带薪病假
免费健身",初/高级Python开发-4377,8千-1.3万,株洲·石峰区,3-4年,大专
"大数据
python
年终奖金
过年过节福利
交通补贴
五险一金
专业培训
免费工作餐
员工公寓",高级Python开发工程师,15-30万/年,成都·双流区,8-9年,本科
"Selenium
Scrapy
Feapder
CSS选择器
正则表达式
xpath
做五休二
绩效奖金
节日福利
专业培训",Python爬虫工程师,1-1.5万,珠海·香洲区,3-4年,大专
"python
软件开发
软件工程师
开发工程师
django
五险一金
股票期权
绩效奖金",Python开发工程师,1-1.5万,杭州,2年,大专
"mysql
oracle
数据分析
数据开发
review
python
数据处理
专业培训
定期体检
五险一金",Python开发/双休/数据方向,1.3-1.7万,珠海,3-4年,本科
"python
算法
软件开发
软件工程师
爬虫
专业培训
做五休二",Python算法高级工程师（苏州佳铭）,8千-1.5万,昆山,3-4年,本科
"Selenium
Scrapy
Feapder
CSS选择器
正则表达式
xpath
做五休二
绩效奖金
节日福利
专业培训",Python爬虫工程师,1-1.5万,珠海·香洲区,3-4年,大专
"计算机
需求分析
http
tcp
ssh
网络协议
ftp
爬虫
udp
网络安全攻防
五险一金
股票期权
餐饮补贴
专业培训
周末双休
做五休二
带薪年假
节日福利
全勤奖
加班补贴",Python开发工程师（台州）,8千-1.2万,台州,2年,本科
"mysql
oracle
数据分析
数据开发
review
python
数据处理
专业培训
定期体检
五险一金",Python开发/双休/数据方向,1.3-1.7万,珠海,3-4年,本科
"python
软件开发
软件工程师
开发工程师
django
五险一金
股票期权
绩效奖金",Python开发工程师,1-1.5万,北京,2年,大专
"python
后端开发
反爬虫
django
flask
爬虫
数据库
SQL
MySQL
SQLServer
五险一金
定期体检
每年调薪
绩效奖金
健身锻炼
周末双休
节日福利
带薪年假
十三薪
免费午餐",Python开发工程师/后端开发,8千-1.6万·13薪,青岛·市北区,3-4年,本科
"python
五险一金
交通补贴
餐饮补贴
年终奖金",Python工程师,5千-1万,武汉·东湖新技术产业开发区,1年,本科
"计算机
数据库
项目开发
go
python
运维开发
后端开发
javascript
专业培训
定期体检
五险一金",Python/周末双休,1.4-1.8万,广州·天河区,3-4年,本科
"项目
mongodb
人工智能
web
app
linux
需求分析
内部实现
开发框架
算法框架
五险
***
午餐补贴
员工旅游
年终奖金",Python开发工程师,8千-1.2万,广州·番禺区,3-4年,大专
"python
rpa
机器人
软件开发
网页爬虫
c++
java
计算机
开发实施
面谈
周末双休
带薪年假
节日福利",软件开发工程师(python),4-8千·13薪,江门,1年,大专
"python
数据库
linux
django
sql
flask
redis
爬虫
Java
web
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",Python开发工程师,8千-1.5万,北京·海淀区,1年,大专
"python自动化
测试
五险一金",Python自动化测试,1.3-1.5万,北京,8-9年,大专
"python
软件开发
软件工程师
开发工程师
django
五险一金
股票期权
绩效奖金",Python开发工程师,1-1.5万,南京,2年,大专
"mysql
数据库
软件开发
软件测试
测试验证
文档撰写
编码实现
python
mssql
asp.netmvc
五险一金
大小周
定期团建
出差补贴
带薪年假
生日假
餐饮补贴
交通补贴
专业培训
下午茶",Python软件开发工程师,8千-1万,中山,2年,大专
"python
数据库
linux
django
sql
flask
redis
爬虫
Java
web
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",Python开发工程师,8千-1.5万,北京·海淀区,1年,大专
"五险一金
补充医疗保险",Python开发工程师,8千-1.5万,上海·长宁区,1年,大专
,Python工程师（兼职）,8千-1.6万,重庆·渝北区,5-7年,本科
"大数据
python
大数据分析
五险一金
节假福利
双休",Python数据分析工程师,1.4-2万,上海·浦东新区,5-7年,大专
"python
数据库
linux
django
sql
flask
redis
爬虫
Java
web
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",Python开发工程师,8千-1.5万,北京·海淀区,1年,大专
"工具开发
python开发
补充医疗保险
定期体检
七险一金
带薪年假
带薪病假
免费健身",高级python开发工程师-14773,8千-1.3万,株洲·石峰区,5-7年,本科
"python
软件开发
软件工程师
开发工程师
PHP
MYSQL",Python开发工程师,1-2万·14薪,南京,1年,本科
"python
数据库
linux
弹性工作
定期体检
年终奖金
意外保险
五险一金",Python开发工程师,1-1.5万·14薪,南京·栖霞区,1年,本科
"python
数据库
linux
django
sql
flask
redis
爬虫
Java
web
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",Python开发工程师,8千-1.5万,北京·海淀区,1年,大专
"软件测试
数据结构
代码编写
自动化测试
机械行业
算法
西门子
技术实现
pyqt5
python
五险一金
免费班车
定期体检
出国机会
年终奖金
绩效奖金
股票期权",Python自动化开发,8千-1.3万·13薪,南通,3-4年,本科
"python
java
mysql
五险一金
定期体检
专业培训",python开发工程师-青岛,1.1-1.6万,青岛,3-4年,本科
"java
数据库
linux",高级开发岗（Python）,1.5-2万,上海·浦东新区,5-7年,大专
"python
数据库
linux
django
sql
flask
redis
爬虫
Java
web
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",Python开发工程师,8千-1.5万,北京·海淀区,1年,大专
"计算机
java
英语
技术服务
金融科技
英文文档
金融银行
cet
全英
fintech
六险一金
补充医疗保险
年终奖金
交通补贴
带薪病假
住房补贴",spark大数据开发（Java/Python）,2-3万·13薪,广州·黄埔区,3-4年,本科
Python,高级Python开发工程师（调度方-J321855,1.8-2.8万,无锡·滨湖区,3-4年,本科
"入库
数据提取
网页抓取
爬虫框架
反爬虫
策略优化
爬虫开发
五险一金
年终奖金
绩效奖金
定期体检
专业培训",Python开发工程师,1.5-2.5万,南京·建邺区,1年,本科
"python
数据库
linux
django
sql
flask
redis
爬虫
Java
web
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",Python开发工程师,8千-1.5万,北京·海淀区,1年,大专
"周末双休
专业培训
社保
生日礼金",Python教员,7千-1.1万,广州·花都区,2年,本科
"python
软件开发
开发工程师
开发
五险一金
员工旅游
定期体检
弹性工作
餐饮补贴
年终奖金
下午茶
节日福利
带薪年假
周末双休",Python高级开发工程师,2-3.5万,上海·徐汇区,3-4年,大专
"人工智能
计算机视觉
python编程
plc通信
linux环境
软件解决方案
linux
计算机科学
年终奖金
五险一金
提供食宿",个元科技—Python软件（美资）,2-4万·13薪,深圳·宝安区,3-4年,本科
"python
数据库
linux
django
sql
flask
redis
爬虫
Java
web
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",Python开发工程师,8千-1.5万,北京·海淀区,1年,大专
"python
研发
数据库设计
五险一金
带薪年假
过节福利",高级Python 内部岗 早九晚六双休 面试简单,1.5-1.9万,深圳·南山区,5-7年,大专
