图片,名称,sal,d,d1,d2,名称_链接,名称3,dc,dc4,dc5,关键词
https://img01.51jobcdn.com/fansImg/CompLogo/1/254/253964/253964_300.png?636718392697476344,资产管理中心-量化投资部-数据开发工程师G00784,1.5-3万,上海,2年,硕士,https://jobs.51job.com/all/coBWFQMV4-UmVTMAZh.html,中信期货有限公司,金融/投资/证券,国企,1000-5000人,"sql
python
数据库
五险一金
绩效奖金
餐补
通讯补贴
带薪年假
补充医疗保险
定期体检
节日福利"
https://img01.51jobcdn.com/fansImg/CompLogo/1/112/111126/21717556518258975576_300.jpeg?1656915352707,初级AI 测试部署工程师-8338,1.5-2万·13薪,上海,1年,本科,https://jobs.51job.com/all/coA2RdOFIwDjEEYwBl.html,瞬联软件科技（北京）有限公司 CIeNET Technologies,计算机软件,外资（欧美）,1000-5000人,"补充医疗保险
定期体检
七险一金
带薪年假
带薪病假
免费健身"
https://img01.51jobcdn.com/fansImg/CompLogo/3/2454/2453731/439810994495994876379_300.png?1698724721017,程序维护经理,2.5-3万,中山,8-9年,本科,https://jobs.51job.com/all/coAmYFZVE3DzJRMwRkBmI.html,广东依顿电子科技股份有限公司,电子技术/半导体/集成电路,已上市,5000-10000人,"java
incam
perl
python
linux
cam
mi
csh
genesis
年终奖金
定期体检
五险
提供免费食宿
有加班费
绩效奖金"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_internet.png,web3技术员,4-8千,成都·青羊区,2年,本科,https://jobs.51job.com/all/coAW8BZV4_UmkPbwxmUTU.html,四川宏链易安商贸有限公司,互联网/电子商务,民营,少于50人,"java
web
it技术支持
web3
数据汇总
管理"
https://img01.51jobcdn.com/fansImg/CompLogo/3/2574/2573420/2573420_300.png?637429377483385305,"Software Engineer, HPS",8千-1.2万·13薪,丹东,2年,本科,http://minisite.51job.com/HARMAN/,哈曼（中国）科技有限公司,汽车,外资（欧美）,1000-5000人,"HTML
JavaScript
CSS
PHP
software
SQL
VBA
Python
HPS
五险一金
补充医疗保险
交通补贴
绩效奖金
年终奖金
定期体检
免费班车
员工旅游
商业保险"
https://img01.51jobcdn.com/fansImg/CompLogo/3/2759/2758227/369597024407452791094_300.png?1691407082649,算法工程师-Pangle行业优化（北京）,3-6万,北京,无需经验,本科,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html,字节跳动,互联网/电子商务,民营,10000人以上,"下午茶
健身瑜伽
六险一金
股票期权
团队氛围好
晋升空间大
带薪休假
扁平管理
用户过亿
大牛带队"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,Linux C/C++高级软件工程师（松江）,2.4-3万,上海·松江区,5-7年,本科,https://jobs.51job.com/all/coCG9QNgdtATcFYFcx.html,格尔软件股份有限公司,计算机软件,已上市,500-1000人,"linux
c++
php
java
Python
五险一金
专业培训
定期体检
员工旅游"
https://img01.51jobcdn.com/fansImg/CompLogo/4/3486/3485753/3485753_300.png?636560253312782274,Devops工程师,1.1-2万,南京,3-4年,本科,https://jobs.51job.com/all/coUzZXN1c8BT5WNFcxAWc.html,中储南京智慧物流科技有限公司,互联网/电子商务,国企,1000-5000人,"java
python
开发语言
五险一金
补充医疗保险
补充公积金
年终奖金
定期体检"
https://img01.51jobcdn.com/fansImg/CompLogo/3/2574/2573420/2573420_300.png?637429377483385305,"Software Engineer, HPS",8千-1.2万·13薪,丹东,2年,本科,http://minisite.51job.com/HARMAN/,哈曼（中国）科技有限公司,汽车,外资（欧美）,1000-5000人,"HTML
JavaScript
CSS
PHP
software
SQL
VBA
Python
HPS
五险一金
补充医疗保险
交通补贴
绩效奖金
年终奖金
定期体检
免费班车
员工旅游
商业保险"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/home_logo_default.png,数据分析与前后端开发,1.4-2万·13薪,上海·长宁区,2年,本科,https://jobs.51job.com/all/coUjJQPARgDzMHY1M1UzM.html,万宝盛华企业管理咨询（上海）有限公司浦东分公司,中介服务,民营,,"数据分析
html
sql
vue
前端
机器学习
powerbi
前后端开发
前端界面
计算机视觉
五险一金
带薪年假
节假日福利
专业培训
周末双休
补充医疗保险
定期体检
弹性工作"
https://img01.51jobcdn.com/fansImg/CompLogo/1/392/391513/391513_300.jpg?636553210995997797,数据采集工程师.数据中台,4-8千,重庆·渝北区,1年,本科,https://jobs.51job.com/all/coBGEGa1AyBD8GYlAw.html,重庆维普资讯有限公司,互联网/电子商务,民营,150-500人,"五险一金
专业培训
绩效奖金
年终奖金
弹性工作
定期体检
带薪年假
生日礼金
节假日礼金"
https://img01.51jobcdn.com/fansImg/CompLogo/6/5490/5489565/128847279950961478262_300.png?1698211356437,爬虫工程师,6千-1.2万,广州·番禺区,1年,大专,https://jobs.51job.com/all/coCWoGZlQ_U2QBYQdiAGA.html,广东金合成建材实业有限公司,建筑/建材/工程,民营,50-150人,"爬虫
架构设计
爬虫开发
爬虫系统
开发
带薪年假
节日福利
社保
餐饮补贴
年终奖金
绩效奖金"
https://img01.51jobcdn.com/fansImg/CompLogo/3/2574/2573420/2573420_300.png?637429377483385305,"Software Engineer, HPS",8千-1.2万·13薪,丹东,2年,本科,http://minisite.51job.com/HARMAN/,哈曼（中国）科技有限公司,汽车,外资（欧美）,1000-5000人,"HTML
JavaScript
CSS
PHP
software
SQL
VBA
Python
HPS
五险一金
补充医疗保险
交通补贴
绩效奖金
年终奖金
定期体检
免费班车
员工旅游
商业保险"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_instrumentation.png,软件工程师,8千-1.2万,苏州·苏州工业园区,1年,大专,https://jobs.51job.com/all/coB2IHawNjAjgEaVY8BmQ.html,苏州芒果树数字技术有限公司,仪器仪表/工业自动化,民营,少于50人,"python
labview
fpga
c++
linux
嵌入式开发
五险一金
带薪年假
节日福利
朝九晚六"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_elect.png,数据工程师,1.2-1.8万,上海·嘉定区,1年,本科,https://jobs.51job.com/all/coCGkFZANgDzYPaQFkVDI.html,浙江芯力微电子股份有限公司,电子技术/半导体/集成电路,民营,,"五险一金
补充公积金
员工旅游
定期体检
年终奖金
商业医疗保险
弹性工作
绩效奖金
餐饮补贴
健身补贴"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_trade.png,电商爬虫工程师,7千-1.2万,宁波·江北区,1年,本科,https://jobs.51job.com/all/coVTBSMgJhADpUNANhB2c.html,宁波傲文进出口有限公司,贸易/进出口,民营,50-150人,"编程
算法
数据支持
数据结构算法
数据抓取
代码习惯
数据采集清洗
网络爬虫
抓取
pyspider
五险一金
员工旅游
专业培训
节日福利
带薪年假"
https://img01.51jobcdn.com/fansImg/CompLogo/4/3896/3895340/3895340_300.jpg?637732768379787627,数据工程师（元宇宙方向）,1.5-3万,北京·朝阳区,1年,本科,https://jobs.51job.com/all/coAGUHa1M5BD8DZQViVTA.html,深圳优立全息科技有限公司,计算机软件,民营,50-150人,"数据分析
数据清洗
数据管理
三维模型
python
数据处理
五险一金
绩效奖金
通讯补贴
年终奖金"
https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_trade.png,爬虫工程师,8千-1.6万,深圳,3-4年,大专,https://jobs.51job.com/all/coBGoGY140UmhVNVY9VjA.html,大连百锐博经贸有限公司,贸易/进出口,民营,,爬虫工程师
